date,key,value
2022-08-31,FIND Sars-CoV-2 Test tracker,0
2022-09-01,FIND Sars-CoV-2 Test tracker,0
2022-09-02,FIND Sars-CoV-2 Test tracker,0
2022-09-03,FIND Sars-CoV-2 Test tracker,0
2022-09-04,FIND Sars-CoV-2 Test tracker,0
2022-09-05,FIND Sars-CoV-2 Test tracker,0
2022-09-06,FIND Sars-CoV-2 Test tracker,0
2022-09-07,FIND Sars-CoV-2 Test tracker,0
2022-09-08,FIND Sars-CoV-2 Test tracker,0
2022-09-09,FIND Sars-CoV-2 Test tracker,0
2022-09-10,FIND Sars-CoV-2 Test tracker,0
2022-09-11,FIND Sars-CoV-2 Test tracker,0
2022-09-12,FIND Sars-CoV-2 Test tracker,50
2022-09-13,FIND Sars-CoV-2 Test tracker,42
2022-09-14,FIND Sars-CoV-2 Test tracker,38
2022-09-15,FIND Sars-CoV-2 Test tracker,42
2022-09-16,FIND Sars-CoV-2 Test tracker,30
2022-09-17,FIND Sars-CoV-2 Test tracker,11
2022-09-18,FIND Sars-CoV-2 Test tracker,9
2022-09-19,FIND Sars-CoV-2 Test tracker,67
2022-09-20,FIND Sars-CoV-2 Test tracker,25
2022-09-21,FIND Sars-CoV-2 Test tracker,55
2022-09-22,FIND Sars-CoV-2 Test tracker,48
2022-09-23,FIND Sars-CoV-2 Test tracker,37
2022-09-24,FIND Sars-CoV-2 Test tracker,21
2022-09-25,FIND Sars-CoV-2 Test tracker,25
2022-09-26,FIND Sars-CoV-2 Test tracker,44
2022-09-27,FIND Sars-CoV-2 Test tracker,35
2022-09-28,FIND Sars-CoV-2 Test tracker,36
2022-09-29,FIND Sars-CoV-2 Test tracker,53
2022-09-30,FIND Sars-CoV-2 Test tracker,32
2022-10-01,FIND Sars-CoV-2 Test tracker,7
2022-10-02,FIND Sars-CoV-2 Test tracker,12
2022-10-03,FIND Sars-CoV-2 Test tracker,30
2022-10-04,FIND Sars-CoV-2 Test tracker,27
2022-10-05,FIND Sars-CoV-2 Test tracker,69
2022-10-06,FIND Sars-CoV-2 Test tracker,41
2022-10-07,FIND Sars-CoV-2 Test tracker,34
2022-10-08,FIND Sars-CoV-2 Test tracker,15
2022-10-09,FIND Sars-CoV-2 Test tracker,30
2022-10-10,FIND Sars-CoV-2 Test tracker,39
2022-10-11,FIND Sars-CoV-2 Test tracker,27
2022-10-12,FIND Sars-CoV-2 Test tracker,43
2022-10-13,FIND Sars-CoV-2 Test tracker,29
2022-10-14,FIND Sars-CoV-2 Test tracker,36
2022-10-15,FIND Sars-CoV-2 Test tracker,17
2022-10-16,FIND Sars-CoV-2 Test tracker,17
2022-10-17,FIND Sars-CoV-2 Test tracker,38
2022-10-18,FIND Sars-CoV-2 Test tracker,29
2022-10-19,FIND Sars-CoV-2 Test tracker,34
2022-10-20,FIND Sars-CoV-2 Test tracker,51
2022-10-21,FIND Sars-CoV-2 Test tracker,35
2022-10-22,FIND Sars-CoV-2 Test tracker,36
2022-10-23,FIND Sars-CoV-2 Test tracker,17
2022-10-24,FIND Sars-CoV-2 Test tracker,38
2022-10-25,FIND Sars-CoV-2 Test tracker,32
2022-10-26,FIND Sars-CoV-2 Test tracker,47
2022-10-27,FIND Sars-CoV-2 Test tracker,61
2022-10-28,FIND Sars-CoV-2 Test tracker,16
2022-10-29,FIND Sars-CoV-2 Test tracker,8
2022-10-30,FIND Sars-CoV-2 Test tracker,9
2022-10-31,FIND Sars-CoV-2 Test tracker,40
2022-11-01,FIND Sars-CoV-2 Test tracker,44
2022-11-02,FIND Sars-CoV-2 Test tracker,36
2022-11-03,FIND Sars-CoV-2 Test tracker,36
2022-11-04,FIND Sars-CoV-2 Test tracker,66
2022-11-05,FIND Sars-CoV-2 Test tracker,13
2022-11-06,FIND Sars-CoV-2 Test tracker,11
2022-11-07,FIND Sars-CoV-2 Test tracker,27
2022-11-08,FIND Sars-CoV-2 Test tracker,21
2022-11-09,FIND Sars-CoV-2 Test tracker,28
2022-11-10,FIND Sars-CoV-2 Test tracker,56
2022-11-11,FIND Sars-CoV-2 Test tracker,27
2022-11-12,FIND Sars-CoV-2 Test tracker,14
2022-11-13,FIND Sars-CoV-2 Test tracker,16
2022-11-14,FIND Sars-CoV-2 Test tracker,26
2022-11-15,FIND Sars-CoV-2 Test tracker,17
2022-11-16,FIND Sars-CoV-2 Test tracker,25
2022-11-17,FIND Sars-CoV-2 Test tracker,25
2022-11-18,FIND Sars-CoV-2 Test tracker,32
2022-11-19,FIND Sars-CoV-2 Test tracker,11
2022-11-20,FIND Sars-CoV-2 Test tracker,13
2022-11-21,FIND Sars-CoV-2 Test tracker,36
2022-11-22,FIND Sars-CoV-2 Test tracker,20
2022-11-23,FIND Sars-CoV-2 Test tracker,28
2022-11-24,FIND Sars-CoV-2 Test tracker,29
2022-11-25,FIND Sars-CoV-2 Test tracker,21
2022-11-26,FIND Sars-CoV-2 Test tracker,16
2022-11-27,FIND Sars-CoV-2 Test tracker,6
2022-11-28,FIND Sars-CoV-2 Test tracker,30
2022-11-29,FIND Sars-CoV-2 Test tracker,24
2022-11-30,FIND Sars-CoV-2 Test tracker,22
2022-12-01,FIND Sars-CoV-2 Test tracker,34
2022-12-02,FIND Sars-CoV-2 Test tracker,16
2022-12-03,FIND Sars-CoV-2 Test tracker,14
2022-12-04,FIND Sars-CoV-2 Test tracker,15
2022-12-05,FIND Sars-CoV-2 Test tracker,36
2022-12-06,FIND Sars-CoV-2 Test tracker,34
2022-12-07,FIND Sars-CoV-2 Test tracker,15
2022-12-08,FIND Sars-CoV-2 Test tracker,11
2022-12-09,FIND Sars-CoV-2 Test tracker,23
2022-12-10,FIND Sars-CoV-2 Test tracker,17
2022-12-11,FIND Sars-CoV-2 Test tracker,7
2022-12-12,FIND Sars-CoV-2 Test tracker,30
2022-12-13,FIND Sars-CoV-2 Test tracker,40
2022-12-14,FIND Sars-CoV-2 Test tracker,40
2022-12-15,FIND Sars-CoV-2 Test tracker,14
2022-12-16,FIND Sars-CoV-2 Test tracker,1
2022-12-17,FIND Sars-CoV-2 Test tracker,31
2022-12-18,FIND Sars-CoV-2 Test tracker,0
2022-12-19,FIND Sars-CoV-2 Test tracker,16
2022-12-20,FIND Sars-CoV-2 Test tracker,37
2022-12-21,FIND Sars-CoV-2 Test tracker,9
2022-12-22,FIND Sars-CoV-2 Test tracker,30
2022-12-23,FIND Sars-CoV-2 Test tracker,3
2022-12-24,FIND Sars-CoV-2 Test tracker,22
2022-12-25,FIND Sars-CoV-2 Test tracker,20
2022-12-26,FIND Sars-CoV-2 Test tracker,31
2022-12-27,FIND Sars-CoV-2 Test tracker,15
2022-12-28,FIND Sars-CoV-2 Test tracker,6
2022-12-29,FIND Sars-CoV-2 Test tracker,7
2022-12-30,FIND Sars-CoV-2 Test tracker,3
2022-08-31,FIND Sars-CoV-2 Policy dashboard,0
2022-09-01,FIND Sars-CoV-2 Policy dashboard,0
2022-09-02,FIND Sars-CoV-2 Policy dashboard,0
2022-09-03,FIND Sars-CoV-2 Policy dashboard,0
2022-09-04,FIND Sars-CoV-2 Policy dashboard,0
2022-09-05,FIND Sars-CoV-2 Policy dashboard,0
2022-09-06,FIND Sars-CoV-2 Policy dashboard,0
2022-09-07,FIND Sars-CoV-2 Policy dashboard,0
2022-09-08,FIND Sars-CoV-2 Policy dashboard,0
2022-09-09,FIND Sars-CoV-2 Policy dashboard,0
2022-09-10,FIND Sars-CoV-2 Policy dashboard,0
2022-09-11,FIND Sars-CoV-2 Policy dashboard,0
2022-09-12,FIND Sars-CoV-2 Policy dashboard,2
2022-09-13,FIND Sars-CoV-2 Policy dashboard,1
2022-09-14,FIND Sars-CoV-2 Policy dashboard,2
2022-09-15,FIND Sars-CoV-2 Policy dashboard,1
2022-09-16,FIND Sars-CoV-2 Policy dashboard,1
2022-09-17,FIND Sars-CoV-2 Policy dashboard,0
2022-09-18,FIND Sars-CoV-2 Policy dashboard,0
2022-09-19,FIND Sars-CoV-2 Policy dashboard,0
2022-09-20,FIND Sars-CoV-2 Policy dashboard,2
2022-09-21,FIND Sars-CoV-2 Policy dashboard,5
2022-09-22,FIND Sars-CoV-2 Policy dashboard,4
2022-09-23,FIND Sars-CoV-2 Policy dashboard,3
2022-09-24,FIND Sars-CoV-2 Policy dashboard,0
2022-09-25,FIND Sars-CoV-2 Policy dashboard,0
2022-09-26,FIND Sars-CoV-2 Policy dashboard,0
2022-09-27,FIND Sars-CoV-2 Policy dashboard,3
2022-09-28,FIND Sars-CoV-2 Policy dashboard,7
2022-09-29,FIND Sars-CoV-2 Policy dashboard,4
2022-09-30,FIND Sars-CoV-2 Policy dashboard,0
2022-10-01,FIND Sars-CoV-2 Policy dashboard,0
2022-10-02,FIND Sars-CoV-2 Policy dashboard,3
2022-10-03,FIND Sars-CoV-2 Policy dashboard,1
2022-10-04,FIND Sars-CoV-2 Policy dashboard,1
2022-10-05,FIND Sars-CoV-2 Policy dashboard,6
2022-10-06,FIND Sars-CoV-2 Policy dashboard,4
2022-10-07,FIND Sars-CoV-2 Policy dashboard,7
2022-10-08,FIND Sars-CoV-2 Policy dashboard,3
2022-10-09,FIND Sars-CoV-2 Policy dashboard,0
2022-10-10,FIND Sars-CoV-2 Policy dashboard,5
2022-10-11,FIND Sars-CoV-2 Policy dashboard,3
2022-10-12,FIND Sars-CoV-2 Policy dashboard,21
2022-10-13,FIND Sars-CoV-2 Policy dashboard,2
2022-10-14,FIND Sars-CoV-2 Policy dashboard,2
2022-10-15,FIND Sars-CoV-2 Policy dashboard,0
2022-10-16,FIND Sars-CoV-2 Policy dashboard,0
2022-10-17,FIND Sars-CoV-2 Policy dashboard,1
2022-10-18,FIND Sars-CoV-2 Policy dashboard,2
2022-10-19,FIND Sars-CoV-2 Policy dashboard,7
2022-10-20,FIND Sars-CoV-2 Policy dashboard,4
2022-10-21,FIND Sars-CoV-2 Policy dashboard,4
2022-10-22,FIND Sars-CoV-2 Policy dashboard,0
2022-10-23,FIND Sars-CoV-2 Policy dashboard,0
2022-10-24,FIND Sars-CoV-2 Policy dashboard,0
2022-10-25,FIND Sars-CoV-2 Policy dashboard,0
2022-10-26,FIND Sars-CoV-2 Policy dashboard,2
2022-10-27,FIND Sars-CoV-2 Policy dashboard,0
2022-10-28,FIND Sars-CoV-2 Policy dashboard,0
2022-10-29,FIND Sars-CoV-2 Policy dashboard,0
2022-10-30,FIND Sars-CoV-2 Policy dashboard,0
2022-10-31,FIND Sars-CoV-2 Policy dashboard,2
2022-11-01,FIND Sars-CoV-2 Policy dashboard,1
2022-11-02,FIND Sars-CoV-2 Policy dashboard,4
2022-11-03,FIND Sars-CoV-2 Policy dashboard,0
2022-11-04,FIND Sars-CoV-2 Policy dashboard,5
2022-11-05,FIND Sars-CoV-2 Policy dashboard,0
