date,application,page_views
2019-12-30,FIND EQA directory (COVID-19),0
2019-12-30,FIND NGS Capacity (COVID-19),0
2019-12-30,FIND Sars-CoV-2 Policy dashboard,0
2019-12-30,FIND Sars-CoV-2 Test tracker,0
2019-12-30,FIND Test directory (COVID-19),0
2019-12-30,FIND Test directory (Ebola),0
2019-12-30,FIND Test directory (Monkeypox),0
2019-12-30,FIND Test directory (NTDs),0
2020-01-06,FIND EQA directory (COVID-19),0
2020-01-06,FIND NGS Capacity (COVID-19),0
2020-01-06,FIND Sars-CoV-2 Policy dashboard,0
2020-01-06,FIND Sars-CoV-2 Test tracker,0
2020-01-06,FIND Test directory (COVID-19),0
2020-01-06,FIND Test directory (Ebola),0
2020-01-06,FIND Test directory (Monkeypox),0
2020-01-06,FIND Test directory (NTDs),0
2020-01-13,FIND EQA directory (COVID-19),0
2020-01-13,FIND NGS Capacity (COVID-19),0
2020-01-13,FIND Sars-CoV-2 Policy dashboard,0
2020-01-13,FIND Sars-CoV-2 Test tracker,0
2020-01-13,FIND Test directory (COVID-19),0
2020-01-13,FIND Test directory (Ebola),0
2020-01-13,FIND Test directory (Monkeypox),0
2020-01-13,FIND Test directory (NTDs),0
2020-01-20,FIND EQA directory (COVID-19),0
2020-01-20,FIND NGS Capacity (COVID-19),0
2020-01-20,FIND Sars-CoV-2 Policy dashboard,0
2020-01-20,FIND Sars-CoV-2 Test tracker,0
2020-01-20,FIND Test directory (COVID-19),0
2020-01-20,FIND Test directory (Ebola),0
2020-01-20,FIND Test directory (Monkeypox),0
2020-01-20,FIND Test directory (NTDs),0
2020-01-27,FIND EQA directory (COVID-19),0
2020-01-27,FIND NGS Capacity (COVID-19),0
2020-01-27,FIND Sars-CoV-2 Policy dashboard,0
2020-01-27,FIND Sars-CoV-2 Test tracker,0
2020-01-27,FIND Test directory (COVID-19),0
2020-01-27,FIND Test directory (Ebola),0
2020-01-27,FIND Test directory (Monkeypox),0
2020-01-27,FIND Test directory (NTDs),0
2020-02-03,FIND EQA directory (COVID-19),0
2020-02-03,FIND NGS Capacity (COVID-19),0
2020-02-03,FIND Sars-CoV-2 Policy dashboard,0
2020-02-03,FIND Sars-CoV-2 Test tracker,0
2020-02-03,FIND Test directory (COVID-19),0
2020-02-03,FIND Test directory (Ebola),0
2020-02-03,FIND Test directory (Monkeypox),0
2020-02-03,FIND Test directory (NTDs),0
2020-02-10,FIND EQA directory (COVID-19),0
2020-02-10,FIND NGS Capacity (COVID-19),0
2020-02-10,FIND Sars-CoV-2 Policy dashboard,0
2020-02-10,FIND Sars-CoV-2 Test tracker,0
2020-02-10,FIND Test directory (COVID-19),0
2020-02-10,FIND Test directory (Ebola),0
2020-02-10,FIND Test directory (Monkeypox),0
2020-02-10,FIND Test directory (NTDs),0
2020-02-17,FIND EQA directory (COVID-19),0
2020-02-17,FIND NGS Capacity (COVID-19),0
2020-02-17,FIND Sars-CoV-2 Policy dashboard,0
2020-02-17,FIND Sars-CoV-2 Test tracker,0
2020-02-17,FIND Test directory (COVID-19),0
2020-02-17,FIND Test directory (Ebola),0
2020-02-17,FIND Test directory (Monkeypox),0
2020-02-17,FIND Test directory (NTDs),0
2020-02-24,FIND EQA directory (COVID-19),0
2020-02-24,FIND NGS Capacity (COVID-19),0
2020-02-24,FIND Sars-CoV-2 Policy dashboard,0
2020-02-24,FIND Sars-CoV-2 Test tracker,0
2020-02-24,FIND Test directory (COVID-19),0
2020-02-24,FIND Test directory (Ebola),0
2020-02-24,FIND Test directory (Monkeypox),0
2020-02-24,FIND Test directory (NTDs),0
2020-03-02,FIND EQA directory (COVID-19),0
2020-03-02,FIND NGS Capacity (COVID-19),0
2020-03-02,FIND Sars-CoV-2 Policy dashboard,0
2020-03-02,FIND Sars-CoV-2 Test tracker,0
2020-03-02,FIND Test directory (COVID-19),0
2020-03-02,FIND Test directory (Ebola),0
2020-03-02,FIND Test directory (Monkeypox),0
2020-03-02,FIND Test directory (NTDs),0
2020-03-09,FIND EQA directory (COVID-19),0
2020-03-09,FIND NGS Capacity (COVID-19),0
2020-03-09,FIND Sars-CoV-2 Policy dashboard,0
2020-03-09,FIND Sars-CoV-2 Test tracker,0
2020-03-09,FIND Test directory (COVID-19),0
2020-03-09,FIND Test directory (Ebola),0
2020-03-09,FIND Test directory (Monkeypox),0
2020-03-09,FIND Test directory (NTDs),0
2020-03-16,FIND EQA directory (COVID-19),0
2020-03-16,FIND NGS Capacity (COVID-19),0
2020-03-16,FIND Sars-CoV-2 Policy dashboard,0
2020-03-16,FIND Sars-CoV-2 Test tracker,3436
2020-03-16,FIND Test directory (COVID-19),0
2020-03-16,FIND Test directory (Ebola),0
2020-03-16,FIND Test directory (Monkeypox),0
2020-03-16,FIND Test directory (NTDs),0
2020-03-23,FIND EQA directory (COVID-19),0
2020-03-23,FIND NGS Capacity (COVID-19),0
2020-03-23,FIND Sars-CoV-2 Policy dashboard,0
2020-03-23,FIND Sars-CoV-2 Test tracker,4159
2020-03-23,FIND Test directory (COVID-19),0
2020-03-23,FIND Test directory (Ebola),0
2020-03-23,FIND Test directory (Monkeypox),0
2020-03-23,FIND Test directory (NTDs),0
2020-03-30,FIND EQA directory (COVID-19),0
2020-03-30,FIND NGS Capacity (COVID-19),0
2020-03-30,FIND Sars-CoV-2 Policy dashboard,0
2020-03-30,FIND Sars-CoV-2 Test tracker,5970
2020-03-30,FIND Test directory (COVID-19),0
2020-03-30,FIND Test directory (Ebola),0
2020-03-30,FIND Test directory (Monkeypox),0
2020-03-30,FIND Test directory (NTDs),0
2020-04-06,FIND EQA directory (COVID-19),0
2020-04-06,FIND NGS Capacity (COVID-19),0
2020-04-06,FIND Sars-CoV-2 Policy dashboard,0
2020-04-06,FIND Sars-CoV-2 Test tracker,1209
2020-04-06,FIND Test directory (COVID-19),0
2020-04-06,FIND Test directory (Ebola),0
2020-04-06,FIND Test directory (Monkeypox),0
2020-04-06,FIND Test directory (NTDs),0
2020-04-13,FIND EQA directory (COVID-19),0
2020-04-13,FIND NGS Capacity (COVID-19),0
