date,application,page_views
2019-12-30,FIND EQA directory (COVID-19),0
2019-12-30,FIND Test directory (COVID-19),0
2019-12-30,FIND Test directory (Ebola),0
2019-12-30,FIND Test directory (Monkeypox),0
2019-12-30,FIND Test directory (NTDs),0
2020-01-06,FIND EQA directory (COVID-19),0
2020-01-06,FIND Test directory (COVID-19),0
2020-01-06,FIND Test directory (Ebola),0
2020-01-06,FIND Test directory (Monkeypox),0
2020-01-06,FIND Test directory (NTDs),0
2020-01-13,FIND EQA directory (COVID-19),0
2020-01-13,FIND Test directory (COVID-19),0
2020-01-13,FIND Test directory (Ebola),0
2020-01-13,FIND Test directory (Monkeypox),0
2020-01-13,FIND Test directory (NTDs),0
2020-01-20,FIND EQA directory (COVID-19),0
2020-01-20,FIND Test directory (COVID-19),0
2020-01-20,FIND Test directory (Ebola),0
2020-01-20,FIND Test directory (Monkeypox),0
2020-01-20,FIND Test directory (NTDs),0
2020-01-27,FIND EQA directory (COVID-19),0
2020-01-27,FIND Test directory (COVID-19),0
2020-01-27,FIND Test directory (Ebola),0
2020-01-27,FIND Test directory (Monkeypox),0
2020-01-27,FIND Test directory (NTDs),0
2020-02-03,FIND EQA directory (COVID-19),0
2020-02-03,FIND Test directory (COVID-19),0
2020-02-03,FIND Test directory (Ebola),0
2020-02-03,FIND Test directory (Monkeypox),0
2020-02-03,FIND Test directory (NTDs),0
2020-02-10,FIND EQA directory (COVID-19),0
2020-02-10,FIND Test directory (COVID-19),0
2020-02-10,FIND Test directory (Ebola),0
2020-02-10,FIND Test directory (Monkeypox),0
2020-02-10,FIND Test directory (NTDs),0
2020-02-17,FIND EQA directory (COVID-19),0
2020-02-17,FIND Test directory (COVID-19),0
2020-02-17,FIND Test directory (Ebola),0
2020-02-17,FIND Test directory (Monkeypox),0
2020-02-17,FIND Test directory (NTDs),0
2020-02-24,FIND EQA directory (COVID-19),0
2020-02-24,FIND Test directory (COVID-19),0
2020-02-24,FIND Test directory (Ebola),0
2020-02-24,FIND Test directory (Monkeypox),0
2020-02-24,FIND Test directory (NTDs),0
2020-03-02,FIND EQA directory (COVID-19),0
2020-03-02,FIND Test directory (COVID-19),0
2020-03-02,FIND Test directory (Ebola),0
2020-03-02,FIND Test directory (Monkeypox),0
2020-03-02,FIND Test directory (NTDs),0
2020-03-09,FIND EQA directory (COVID-19),0
2020-03-09,FIND Test directory (COVID-19),0
2020-03-09,FIND Test directory (Ebola),0
2020-03-09,FIND Test directory (Monkeypox),0
2020-03-09,FIND Test directory (NTDs),0
2020-03-16,FIND EQA directory (COVID-19),0
2020-03-16,FIND Test directory (COVID-19),0
2020-03-16,FIND Test directory (Ebola),0
2020-03-16,FIND Test directory (Monkeypox),0
2020-03-16,FIND Test directory (NTDs),0
2020-03-23,FIND EQA directory (COVID-19),0
2020-03-23,FIND Test directory (COVID-19),0
2020-03-23,FIND Test directory (Ebola),0
2020-03-23,FIND Test directory (Monkeypox),0
2020-03-23,FIND Test directory (NTDs),0
2020-03-30,FIND EQA directory (COVID-19),0
2020-03-30,FIND Test directory (COVID-19),0
2020-03-30,FIND Test directory (Ebola),0
2020-03-30,FIND Test directory (Monkeypox),0
2020-03-30,FIND Test directory (NTDs),0
2020-04-06,FIND EQA directory (COVID-19),0
2020-04-06,FIND Test directory (COVID-19),0
2020-04-06,FIND Test directory (Ebola),0
2020-04-06,FIND Test directory (Monkeypox),0
2020-04-06,FIND Test directory (NTDs),0
2020-04-13,FIND EQA directory (COVID-19),0
2020-04-13,FIND Test directory (COVID-19),0
2020-04-13,FIND Test directory (Ebola),0
2020-04-13,FIND Test directory (Monkeypox),0
2020-04-13,FIND Test directory (NTDs),0
2020-04-20,FIND EQA directory (COVID-19),0
2020-04-20,FIND Test directory (COVID-19),0
2020-04-20,FIND Test directory (Ebola),0
2020-04-20,FIND Test directory (Monkeypox),0
2020-04-20,FIND Test directory (NTDs),0
2020-04-27,FIND EQA directory (COVID-19),0
2020-04-27,FIND Test directory (COVID-19),0
2020-04-27,FIND Test directory (Ebola),0
2020-04-27,FIND Test directory (Monkeypox),0
2020-04-27,FIND Test directory (NTDs),0
2020-05-04,FIND EQA directory (COVID-19),0
2020-05-04,FIND Test directory (COVID-19),0
2020-05-04,FIND Test directory (Ebola),0
2020-05-04,FIND Test directory (Monkeypox),0
2020-05-04,FIND Test directory (NTDs),0
2020-05-11,FIND EQA directory (COVID-19),0
2020-05-11,FIND Test directory (COVID-19),0
2020-05-11,FIND Test directory (Ebola),0
2020-05-11,FIND Test directory (Monkeypox),0
2020-05-11,FIND Test directory (NTDs),0
2020-05-18,FIND EQA directory (COVID-19),0
2020-05-18,FIND Test directory (COVID-19),0
2020-05-18,FIND Test directory (Ebola),0
2020-05-18,FIND Test directory (Monkeypox),0
2020-05-18,FIND Test directory (NTDs),0
2020-05-25,FIND EQA directory (COVID-19),0
2020-05-25,FIND Test directory (COVID-19),0
2020-05-25,FIND Test directory (Ebola),0
2020-05-25,FIND Test directory (Monkeypox),0
2020-05-25,FIND Test directory (NTDs),0
2020-06-01,FIND EQA directory (COVID-19),0
2020-06-01,FIND Test directory (COVID-19),0
2020-06-01,FIND Test directory (Ebola),0
2020-06-01,FIND Test directory (Monkeypox),0
2020-06-01,FIND Test directory (NTDs),0
2020-06-08,FIND EQA directory (COVID-19),0
2020-06-08,FIND Test directory (COVID-19),0
2020-06-08,FIND Test directory (Ebola),0
2020-06-08,FIND Test directory (Monkeypox),0
2020-06-08,FIND Test directory (NTDs),0
2020-06-15,FIND EQA directory (COVID-19),0
2020-06-15,FIND Test directory (COVID-19),0
2020-06-15,FIND Test directory (Ebola),0
2020-06-15,FIND Test directory (Monkeypox),0
2020-06-15,FIND Test directory (NTDs),0
2020-06-22,FIND EQA directory (COVID-19),0
2020-06-22,FIND Test directory (COVID-19),0
2020-06-22,FIND Test directory (Ebola),0
2020-06-22,FIND Test directory (Monkeypox),0
2020-06-22,FIND Test directory (NTDs),0
2020-06-29,FIND EQA directory (COVID-19),0
2020-06-29,FIND Test directory (COVID-19),0
2020-06-29,FIND Test directory (Ebola),0
2020-06-29,FIND Test directory (Monkeypox),0
2020-06-29,FIND Test directory (NTDs),0
2020-07-06,FIND EQA directory (COVID-19),0
2020-07-06,FIND Test directory (COVID-19),0
2020-07-06,FIND Test directory (Ebola),0
2020-07-06,FIND Test directory (Monkeypox),0
2020-07-06,FIND Test directory (NTDs),0
2020-07-13,FIND EQA directory (COVID-19),0
2020-07-13,FIND Test directory (COVID-19),0
2020-07-13,FIND Test directory (Ebola),0
2020-07-13,FIND Test directory (Monkeypox),0
2020-07-13,FIND Test directory (NTDs),0
2020-07-20,FIND EQA directory (COVID-19),0
2020-07-20,FIND Test directory (COVID-19),0
2020-07-20,FIND Test directory (Ebola),0
2020-07-20,FIND Test directory (Monkeypox),0
2020-07-20,FIND Test directory (NTDs),0
2020-07-27,FIND EQA directory (COVID-19),0
2020-07-27,FIND Test directory (COVID-19),0
2020-07-27,FIND Test directory (Ebola),0
2020-07-27,FIND Test directory (Monkeypox),0
2020-07-27,FIND Test directory (NTDs),0
2020-08-03,FIND EQA directory (COVID-19),0
2020-08-03,FIND Test directory (COVID-19),0
2020-08-03,FIND Test directory (Ebola),0
2020-08-03,FIND Test directory (Monkeypox),0
2020-08-03,FIND Test directory (NTDs),0
2020-08-10,FIND EQA directory (COVID-19),0
2020-08-10,FIND Test directory (COVID-19),0
2020-08-10,FIND Test directory (Ebola),0
2020-08-10,FIND Test directory (Monkeypox),0
2020-08-10,FIND Test directory (NTDs),0
2020-08-17,FIND EQA directory (COVID-19),0
2020-08-17,FIND Test directory (COVID-19),0
2020-08-17,FIND Test directory (Ebola),0
