date,FIND EQA directory (COVID-19),FIND NGS Capacity (COVID-19),FIND Sars-CoV-2 Policy dashboard,FIND Sars-CoV-2 Test tracker,FIND Test directory (COVID-19),FIND Test directory (Ebola),FIND Test directory (Monkeypox),FIND Test directory (NTDs)
2022-08-29,0,0,0,0,0,0,0,0
2022-09-05,0,0,0,0,0,0,0,0
2022-09-12,13,17,7,222,250,0,221,24
2022-09-19,0,26,14,278,250,0,210,0
2022-09-26,0,40,17,219,203,0,204,84
2022-10-03,1,1,22,246,289,0,187,39
2022-10-10,0,38,33,208,229,0,184,181
2022-10-17,4,99,18,240,380,50,315,323
2022-10-24,61,53,2,211,228,161,136,81
2022-10-31,11,95,12,246,305,220,87,122
2022-11-07,11,51,17,189,258,100,118,112
2022-11-14,21,71,35,149,237,47,87,60
2022-11-21,8,80,4,156,287,25,62,79
2022-11-28,11,104,18,155,248,38,72,40
2022-12-05,9,66,18,143,157,80,48,58
2022-12-12,14,92,28,156,119,33,42,69
2022-12-19,19,22,27,137,181,29,57,25
2022-12-26,2,6,17,62,90,1,29,18
2023-01-02,5,7,19,49,114,6,44,50
2023-01-09,25,45,13,73,116,7,26,47
