date,application,n_connections
2022-08-29,FIND EQA directory (COVID-19),0
2022-08-29,FIND NGS Capacity (COVID-19),0
2022-08-29,FIND Sars-CoV-2 Policy dashboard,0
2022-08-29,FIND Sars-CoV-2 Test tracker,0
2022-08-29,FIND Test directory (COVID-19),0
2022-08-29,FIND Test directory (Ebola),0
2022-08-29,FIND Test directory (Monkeypox),0
2022-08-29,FIND Test directory (NTDs),0
2022-09-05,FIND EQA directory (COVID-19),0
2022-09-05,FIND NGS Capacity (COVID-19),0
2022-09-05,FIND Sars-CoV-2 Policy dashboard,0
2022-09-05,FIND Sars-CoV-2 Test tracker,0
2022-09-05,FIND Test directory (COVID-19),0
2022-09-05,FIND Test directory (Ebola),0
2022-09-05,FIND Test directory (Monkeypox),0
2022-09-05,FIND Test directory (NTDs),0
2022-09-12,FIND EQA directory (COVID-19),13
2022-09-12,FIND NGS Capacity (COVID-19),17
2022-09-12,FIND Sars-CoV-2 Policy dashboard,7
2022-09-12,FIND Sars-CoV-2 Test tracker,222
2022-09-12,FIND Test directory (COVID-19),250
2022-09-12,FIND Test directory (Ebola),0
2022-09-12,FIND Test directory (Monkeypox),221
2022-09-12,FIND Test directory (NTDs),24
2022-09-19,FIND EQA directory (COVID-19),0
2022-09-19,FIND NGS Capacity (COVID-19),26
2022-09-19,FIND Sars-CoV-2 Policy dashboard,14
2022-09-19,FIND Sars-CoV-2 Test tracker,278
2022-09-19,FIND Test directory (COVID-19),250
2022-09-19,FIND Test directory (Ebola),0
2022-09-19,FIND Test directory (Monkeypox),210
2022-09-19,FIND Test directory (NTDs),0
2022-09-26,FIND EQA directory (COVID-19),0
2022-09-26,FIND NGS Capacity (COVID-19),40
2022-09-26,FIND Sars-CoV-2 Policy dashboard,17
2022-09-26,FIND Sars-CoV-2 Test tracker,219
2022-09-26,FIND Test directory (COVID-19),203
2022-09-26,FIND Test directory (Ebola),0
2022-09-26,FIND Test directory (Monkeypox),204
2022-09-26,FIND Test directory (NTDs),84
2022-10-03,FIND EQA directory (COVID-19),1
2022-10-03,FIND NGS Capacity (COVID-19),1
2022-10-03,FIND Sars-CoV-2 Policy dashboard,22
2022-10-03,FIND Sars-CoV-2 Test tracker,246
2022-10-03,FIND Test directory (COVID-19),289
2022-10-03,FIND Test directory (Ebola),0
2022-10-03,FIND Test directory (Monkeypox),187
2022-10-03,FIND Test directory (NTDs),39
2022-10-10,FIND EQA directory (COVID-19),0
2022-10-10,FIND NGS Capacity (COVID-19),38
2022-10-10,FIND Sars-CoV-2 Policy dashboard,33
2022-10-10,FIND Sars-CoV-2 Test tracker,208
2022-10-10,FIND Test directory (COVID-19),229
2022-10-10,FIND Test directory (Ebola),0
2022-10-10,FIND Test directory (Monkeypox),184
2022-10-10,FIND Test directory (NTDs),181
2022-10-17,FIND EQA directory (COVID-19),4
2022-10-17,FIND NGS Capacity (COVID-19),99
2022-10-17,FIND Sars-CoV-2 Policy dashboard,18
2022-10-17,FIND Sars-CoV-2 Test tracker,240
2022-10-17,FIND Test directory (COVID-19),380
2022-10-17,FIND Test directory (Ebola),50
2022-10-17,FIND Test directory (Monkeypox),315
2022-10-17,FIND Test directory (NTDs),323
2022-10-24,FIND EQA directory (COVID-19),61
2022-10-24,FIND NGS Capacity (COVID-19),53
2022-10-24,FIND Sars-CoV-2 Policy dashboard,2
2022-10-24,FIND Sars-CoV-2 Test tracker,211
2022-10-24,FIND Test directory (COVID-19),228
2022-10-24,FIND Test directory (Ebola),161
2022-10-24,FIND Test directory (Monkeypox),136
2022-10-24,FIND Test directory (NTDs),81
2022-10-31,FIND EQA directory (COVID-19),11
2022-10-31,FIND NGS Capacity (COVID-19),95
2022-10-31,FIND Sars-CoV-2 Policy dashboard,12
2022-10-31,FIND Sars-CoV-2 Test tracker,246
2022-10-31,FIND Test directory (COVID-19),305
2022-10-31,FIND Test directory (Ebola),220
2022-10-31,FIND Test directory (Monkeypox),87
2022-10-31,FIND Test directory (NTDs),122
2022-11-07,FIND EQA directory (COVID-19),11
2022-11-07,FIND NGS Capacity (COVID-19),51
2022-11-07,FIND Sars-CoV-2 Policy dashboard,17
2022-11-07,FIND Sars-CoV-2 Test tracker,189
2022-11-07,FIND Test directory (COVID-19),258
2022-11-07,FIND Test directory (Ebola),100
2022-11-07,FIND Test directory (Monkeypox),118
2022-11-07,FIND Test directory (NTDs),112
2022-11-14,FIND EQA directory (COVID-19),21
2022-11-14,FIND NGS Capacity (COVID-19),71
2022-11-14,FIND Sars-CoV-2 Policy dashboard,35
2022-11-14,FIND Sars-CoV-2 Test tracker,149
2022-11-14,FIND Test directory (COVID-19),237
2022-11-14,FIND Test directory (Ebola),47
2022-11-14,FIND Test directory (Monkeypox),87
2022-11-14,FIND Test directory (NTDs),60
2022-11-21,FIND EQA directory (COVID-19),8
2022-11-21,FIND NGS Capacity (COVID-19),80
2022-11-21,FIND Sars-CoV-2 Policy dashboard,4
2022-11-21,FIND Sars-CoV-2 Test tracker,156
2022-11-21,FIND Test directory (COVID-19),287
2022-11-21,FIND Test directory (Ebola),25
2022-11-21,FIND Test directory (Monkeypox),62
2022-11-21,FIND Test directory (NTDs),79
2022-11-28,FIND EQA directory (COVID-19),11
2022-11-28,FIND NGS Capacity (COVID-19),104
2022-11-28,FIND Sars-CoV-2 Policy dashboard,18
2022-11-28,FIND Sars-CoV-2 Test tracker,155
2022-11-28,FIND Test directory (COVID-19),248
2022-11-28,FIND Test directory (Ebola),38
2022-11-28,FIND Test directory (Monkeypox),72
2022-11-28,FIND Test directory (NTDs),40
2022-12-05,FIND EQA directory (COVID-19),9
2022-12-05,FIND NGS Capacity (COVID-19),66
2022-12-05,FIND Sars-CoV-2 Policy dashboard,18
2022-12-05,FIND Sars-CoV-2 Test tracker,143
2022-12-05,FIND Test directory (COVID-19),157
2022-12-05,FIND Test directory (Ebola),80
2022-12-05,FIND Test directory (Monkeypox),48
2022-12-05,FIND Test directory (NTDs),58
2022-12-12,FIND EQA directory (COVID-19),14
2022-12-12,FIND NGS Capacity (COVID-19),92
2022-12-12,FIND Sars-CoV-2 Policy dashboard,28
2022-12-12,FIND Sars-CoV-2 Test tracker,156
2022-12-12,FIND Test directory (COVID-19),119
2022-12-12,FIND Test directory (Ebola),33
2022-12-12,FIND Test directory (Monkeypox),42
2022-12-12,FIND Test directory (NTDs),69
2022-12-19,FIND EQA directory (COVID-19),19
2022-12-19,FIND NGS Capacity (COVID-19),22
2022-12-19,FIND Sars-CoV-2 Policy dashboard,27
2022-12-19,FIND Sars-CoV-2 Test tracker,137
2022-12-19,FIND Test directory (COVID-19),181
2022-12-19,FIND Test directory (Ebola),29
2022-12-19,FIND Test directory (Monkeypox),57
2022-12-19,FIND Test directory (NTDs),25
2022-12-26,FIND EQA directory (COVID-19),2
2022-12-26,FIND NGS Capacity (COVID-19),6
2022-12-26,FIND Sars-CoV-2 Policy dashboard,17
2022-12-26,FIND Sars-CoV-2 Test tracker,62
2022-12-26,FIND Test directory (COVID-19),90
2022-12-26,FIND Test directory (Ebola),1
2022-12-26,FIND Test directory (Monkeypox),29
2022-12-26,FIND Test directory (NTDs),18
2023-01-02,FIND EQA directory (COVID-19),5
